,mes,mm,instalacao,medidor
1,7,315,0000719904,12827988
2,8,301,0000719904,12827988
0,5,179,0000835623,14132211
1,6,189,0000835623,14132211
2,7,126,0000835623,14132211
3,8,128,0000835623,14132211
0,5,285,0000548340,12680651
1,6,312,0000548340,12680651
2,7,344,0000548340,12680651
3,8,292,0000548340,12680651
0,5,358,0160109047,12875209
1,6,326,0160109047,12875209
2,7,193,0160109047,12875209
0,5,183,0000370449,00002685
1,6,200,0000370449,00002685
2,7,175,0000370449,00002685
3,8,139,0000370449,00002685
0,5,208,0001167968,12680629
1,6,166,0001167968,12680629
2,7,180,0001167968,12680629
3,8,148,0001167968,12680629
0,5,112,0000124333,12680679
1,6,89,0000124333,12680679
2,7,50,0000124333,12680679
0,8,328,0001436827,15432095
0,5,193,0001324987,13058312
1,6,217,0001324987,13058312
2,7,157,0001324987,13058312
3,8,160,0001324987,13058312
0,5,108,0000755189,00047182
1,6,90,0000755189,00047182
2,7,105,0000755189,00047182
3,8,82,0000755189,00047182
0,5,217,0001654734,13406489
1,6,179,0001654734,13406489
2,7,48,0001654734,13406489
3,8,202,0001654734,13406489
0,5,256,0000948588,13523915
0,8,552,0000948588,15496740
0,5,681,0000478177,13831538
1,6,392,0000478177,13831538
0,5,178,0160436078,12697335
1,6,263,0160436078,12697335
2,7,160,0160436078,12697335
3,8,106,0160436078,12697335
0,7,114,0009500667,13017012
1,8,143,0009500667,13017012
0,7,247,0009500573,15537037
1,8,236,0009500573,15537037
0,5,230,0160165006,12996165
0,7,235,0160165006,15537022
1,8,308,0160165006,15537022
0,5,91,0000392197,12919907
1,6,58,0000392197,12919907
2,7,64,0000392197,12919907
3,8,56,0000392197,12919907
0,5,446,0160088166,12827762
1,6,186,0160088166,12827762
2,7,57,0160088166,12827762
3,8,257,0160088166,12827762
0,5,75,0160382313,12919311
0,8,274,0160382313,15536968
0,5,73,0001000427,00066328
0,5,540,0160292069,13337028
1,7,100,0160292069,13337028
0,5,470,0009501779,12919426
1,6,349,0009501779,12919426
2,8,183,0009501779,12919426
0,5,646,0160279015,00093044
1,6,70,0160279015,00093044
0,5,48,0001502989,00037396
1,7,51,0001502989,00037396
2,8,78,0001502989,00037396
0,5,121,0000939324,13058662
1,6,153,0000939324,13058662
2,7,235,0000939324,13058662
3,8,143,0000939324,13058662
0,8,256,0000231683,15269145
0,5,111,0160277613,14275245
