;instalacao;data
1256;9501997;2019-07-26
1256;9501997;2019-08-23
992;9502284;2019-05-23
993;9502284;2019-06-24
993;9502284;2019-07-26
1106;9502301;2019-05-27
1107;9502301;2019-08-26
1361;9502327;2019-08-23
583;9502364;2019-05-24
124;9502394;2019-08-23
779;9502407;2019-07-26
779;9502407;2019-08-23
868;9502432;2019-07-26
868;9502432;2019-08-22
302;9502437;2019-05-24
303;9502437;2019-07-26
303;9502437;2019-08-23
1102;9502457;2019-05-23
1102;9502457;2019-06-24
1102;9502457;2019-08-22
1133;9502477;2019-05-24
1133;9502477;2019-06-25
1134;9502477;2019-07-26
1134;9502477;2019-08-23
118;9502513;2019-05-28
118;9502513;2019-06-27
93;9502599;2019-05-23
93;9502599;2019-06-24
94;9502599;2019-07-26
94;9502599;2019-08-22
918;9502627;2019-05-27
918;9502627;2019-06-26
918;9502627;2019-07-28
918;9502627;2019-08-26
886;9502650;2019-06-26
886;9502650;2019-07-28
886;9502650;2019-08-26
1210;9502693;2019-07-26
1210;9502693;2019-08-22
146;9502701;2019-07-26
928;9502711;2019-05-27
928;9502711;2019-06-26
928;9502711;2019-07-28
928;9502711;2019-08-26
818;9502785;2019-05-23
819;9502785;2019-06-24
819;9502785;2019-07-26
819;9502785;2019-08-22
117;160003451;2019-05-23
117;160003451;2019-06-24
964;160019450;2019-06-06
964;160019450;2019-09-05
1226;160021278;2019-05-28
1226;160021278;2019-06-26
1227;160021278;2019-07-25
1227;160021278;2019-08-27
625;160023919;2019-05-24
625;160023919;2019-06-24
625;160023919;2019-07-23
625;160023919;2019-08-23
608;160025048;2019-07-26
608;160025048;2019-08-22
833;160025499;2019-05-22
833;160025499;2019-07-20
833;160025499;2019-08-19
99;160026332;2019-05-28
99;160026332;2019-07-28
269;160031690;2019-06-05
1354;160032028;2019-07-28
1354;160032028;2019-08-27
1311;160032716;2019-07-20
1311;160032716;2019-08-19
373;160033315;2019-05-27
323;160033471;2019-05-29
323;160033471;2019-06-27
331;160036478;2019-03-06
331;160036478;2019-03-07
331;160036478;2019-03-08
331;160036478;2019-06-05
548;160039108;2019-06-26
4;160040259;2019-05-27
4;160040259;2019-06-25
4;160040259;2019-07-24
4;160040259;2019-08-26
191;160041006;2019-05-16
355;160041160;2019-05-27
769;160041564;2019-05-22
769;160041564;2019-06-18
769;160041564;2019-07-20
769;160041564;2019-08-19
787;160042544;2019-05-27
787;160042544;2019-06-26
787;160042544;2019-07-28
787;160042544;2019-08-26
596;160044128;2019-05-16
596;160044128;2019-06-13
889;160045096;2019-05-16
889;160045096;2019-06-13
889;160045096;2019-08-15
1112;160045134;2019-05-24
1112;160045134;2019-06-24
1112;160045134;2019-08-23
435;160047058;2019-05-22
435;160047058;2019-06-18
725;160047269;2019-04-06
725;160047269;2019-04-07
725;160047269;2019-05-08
725;160047269;2019-07-05
825;160049678;2019-05-27
352;160050162;2019-05-28
352;160050162;2019-06-26
352;160050162;2019-07-25
352;160050162;2019-08-27
1127;160050311;2019-05-23
584;160050816;2019-05-24
584;160050816;2019-06-24
584;160050816;2019-08-23
134;160051358;2019-05-21
135;160051358;2019-08-20
1079;160051400;2019-05-23
881;160051656;2019-05-28
881;160051656;2019-06-26
881;160051656;2019-08-27
